name,website,description,country,city,founded,topic
Magpie App,http://getmagpie.com,"Magpie App allows users to exchange homes & travel worldwide, with local hosts and authentic travel experiences, for free.",United States,San Francisco,,Home
Maestro Market,http://maestromarket.com,"Operates as an online platform and marketplace connecting professionals with specialised talent for customers, allowing professionals to locate business opportunities, and customers to locate and hire professionals for events, appearances, and engagements.",United States,San Francisco,2008,Services
Lyft,http://lyft.com,"Lyft is a peer-to-peer transportation platform that connects passengers who need rides, with drivers willing to provide rides, using their own personal vehicles.",United States,San Francisco,2012,Transport
Luxury Shoe Club,http://luxuryshoeclub.com,The Luxury Shoe Club is the world's largest online membership club for women who can never have enough luxury shoes and boots.,United States,Raleigh,2014,Fashion
Lugg,http://lu.gg,"An online platform that allows users to instantly arrange transport for their couch, bed, furniture or large item.",United States,San Francisco,2014,Home
LoveHomeSwap,http://www.lovehomeswap.com/,Love Home Swap is a home-swapping website that enables members to exchange and rent homes.,United Kingdom,London,2011,Home
Loteda,http://loteda.com,"Loteda is a full-service, curated marketplace to sell and purchase individual lots of pre-loved children€__s clothes.",United States,Cincinnati,2013,Kids
Loqules,http://loqules.com,A peer-to-peer marketplace that connects travelers with like-minded local experts to curate amazing memorable experiences.,Australia,Sydney,2014,Sports
LocalYoo.com,http://www.localyoo.com,"An online marketplace connecting tourists with local experts, which enables travelers to book trips, itineraries and experiences from a variety of qualified locals.",Israel,Ra'anana,2014,Services
Localo,http://getlocalo.com,"A social marketplace that allows users to travel like a local, by booking rooms, homes, sofabeds, boats and private islands from locals willing to share them.",United States,New York City,2011,Services
Livop,http://livop.fr,"Livop and Drivy, which merged in 2015, is a peer-to-peer car rental service with full insurance.",France,Paris,2010,Transport
Live Drive Alive LLC,http://livedrivealive.com,"Live Drive Alive (LDA) allows clients to lease cars to drive on Uber, Lyft and similar services, as well as offering coverage for gas, insurance and maintenance.",United States,Atlanta,2013,Transport
LiteUp,http://liteup.org,"LiteUp is a service for students, built by students, which allows users to share knowledge through short consumable videos.",Hungary,Budapest,,Education
ListMinut,http://listminut.com,"An internet platform that allows users to connect with reliable private individuals to complete all sorts of tasks - users describe what they need assistance with and the price they are willing to pay, before choosing a candidate for the task.",Belgium,Brussels,2013,House Chores
Listant,http://listantlocal.com,"Listant is a real time, local listing agent that provides the most efficient, responsive, and safe platform for the everyday exchanges of goods and services.",United States,Iowa City,,House Chores
LIQUITY,http://liquity.co.uk,"With an online platform providing liquidity to the private equity market, LIQUITY matches shareholders looking to partially/fully exit private companies with investors looking for high-growth investment opportunities.",United Kingdom,London,2013,Finance
LiquidSpace,http://liquidspace.com,"The largest real-time marketplace for people who can instantly find and book better places to meet and work - online or from an iPhone, iPad or Android. Through LiquidSpace, people can choose from 1,000's of workspaces to rent by the hour, by the day or longer. LiquidSpace offers more than 5,500 vetted, reviewed workspaces in over 600 cities across the U.S., Canada and Australia.",United States,San Francisco,2010,Business
LetzGo,http://letz-go.com,LetzGo is a peer-to-peer instant car-pooling application and community.,Italy,Milan,2013,Transport
Letsmake,http://letsmake.com,"An online platform that helps makers find spaces for their activities, like workshops, kitchens, gardens, rehearsal rooms and artist studios.",United States,San Francisco,,Education
letmespace,http://letmespace.com,A website for giving special regard to renting storage spaces and parking.,Spain,Barcelona,2014,Transport
Let Me Seat,http://letmeseat.com,Let Me Seat connects businesses that have unused spaces with people looking to rent them for short-term.,United States,Sunnyvale,2012,Business
LessonVendor,http://lessonvendor.com,"A helpful marketplace for local lessons, allowing users to learn guitar, typing, chess, ice skating and thousands of other lessons near them.",Canada,Toronto,,Education
Les Cachotieres,http://lescachotieres.com,A peer-to-peer high end dress rental service for individuals and creators.,France,Lille,,Fashion
Lendsquare,http://lendsquare.com,Lendsquare is an online platform that allows small businesses to finance growth by borrowing money from their customers and communities.,United States,Chicago,2011,Finance
Lendoor,http://lendoor.com,"A crowdlending platform for business loans, Lendoor's mission is to help startups and small businesses nationwide get crowdfunded loans from friends, customers and supporters €__ instead of bankers €__ with terms that work for both sides.",United States,New York City,2013,Finance
LendLift,http://lendlift.com,"An online marketplace with a focus towards credit card payoff, by building a platform that connects credit card borrowers interested in paying off their debt with lenders looking for yields.",United States,Atlanta,2013,Finance
LendLayer,http://lendlayer.com,LendLayer is a social lending program that finances students to attend top accelerated learning programs.,United States,San Francisco,2014,Finance
LendInvest,http://www.lendinvest.com,A marketplace lending platform for mortgage loans.,United Kingdom,London,2013,Finance
LendingStar,http://lendingstar.com,A peer-to-peer lending and investment online platform for consumers and small business.,Ukraine,Kiev,2013,Finance
LendingKarma,http://www.lendingkarma.com,LendingKarma helps people that know one another document and track person-to-person loans amongst themselves.,United States,San Francisco,2009,Finance
Lending Works,http://www.lendingworks.co.uk,A marketplace which facilitates lending from person to person - an idea called peer-to-peer lending.,United Kingdom,London,2012,Finance
Lending Loop,http://lendingloop.ca,An online marketplace for Canadians to lend money to growing local businesses.,Canada,Toronto,,Finance
Lending Club,https://lendingclub.com/,Lending Club is the world€__s largest online marketplace connecting borrowers and investors.,United States,San Francisco,2006,Finance
Lendify,http://lendify.se,"Lendify offers Sweden€__s first real peer-to-peer lending platform, operating an online marketplace credit platform that enables its borrowers to borrow money and its lenders to lend money directly to the borrower €__ without the involvement of banks or credit card companies.",Sweden,Stockholm,2014,Finance
LendFu,http://www.lendfu.com,LendFu€__s marketplace provides a socially responsible peer to peer alternative to payday loans.,United States,San Jose,2013,Finance
Lenders Exchange,http://lendersexchange.com,"A peer-to-peer lending platform that also serves as a secondary market, offering investors the ability to buy and sell consumer credit notes similar to trading equities on a stock exchange.",United States,San Francisco,2015,Finance
LejDet,http://lejdet.dk,"A peer-to-peer rental service, allowing users to hire items and equipment to each other for fees set by owners.",Denmark,Aarhus,,Home
LE TOTE,http://letote.com,"A fashion discovery platform that connects brands with consumers through a rental model, which offers boutique style apparel and accessories for a monthly subscription.",United States,San Francisco,2012,Fashion
LawTrades,http://lawtrades.com,A platform that enables law firms and attorneys to connect with clients.,United States,New York City,2013,Legal
LawnStarter,http://lawnstarter.com,"A platform which allows consumers to book lawn care service from high quality providers, and manage their relationship with the provider thereafter. Additionally, LawnStarter provides contractors with much-needed backend infrastructure to help them scale their businesses.",United States,Austin,2013,House Chores
Lawn Love,http://lawnlove.com,"A new startup launching out of the Summer 2014 batch of Y Combinator that aims to add a layer of tech-enabled ease to the process of finding, booking, and paying a landscaping or lawn care provider.",United States,San Diego,2014,House Chores
LawKick,http://www.lawkick.com,A marketplace for efficiently connecting clients with lawyers.,United States,Santa Monica,2012,Legal
Lavanda,http://getlavanda.com,A UK platform that allows users to have their dirty laundry picked up and dry cleaned and returned within 24 hours.,United Kingdom,London,2014,House Chores
LaundryRun,http://trylaundryrun.com,"LaundryRun is a mobile app that allows users to have their dry cleaning picked up, cleaned and delivered with the click of a button.",Australia,Melbourne,2015,House Chores
Last Minute Gear,http://lastmingear.com,"Last Minute Gear allows users to rent camping, backpacking, skiing and snowboarding gear at any time, up to 1 hour before their trip. The company will also deliver, instruct the user on the itemm, and pick it back up after use.",United States,San Francisco,2014,Travel
Landbay,http://landbay.co.uk,An FCA authorised peer-to-peer lending platform that enables retail and institutional investors to invest in the high-value buy-to-let mortgage market.,United Kingdom,London,2013,Finance
La Mas Mona,http://www.lamasmona.com/login,An online marketplace where women can rent their designer dresses and accessories and make money out their closet.,Spain,Madrid,2012,Fashion
Kutoto,http://www.kutoto.com,A mobile marketplace that connects people or small businesses who need tasks or small jobs done with local providers who can do these tasks.,Canada,Montreal,2012,House Chores
KungFu,http://kungfu.co,"A community of people working on-demand, empowering the sharing economy.",United States,San Francisco,,House Chores
Krrb Local Classifieds,http://krrb.com,A hyperlocal advertising website that enables users to connect with their neighbors for local and in-person commerce.,United States,New York City,2010,Marketplace
Krawst,http://krawst.com,A social discovery platform that focuses on discovering new social experiences around the favourite hangouts of users.,Chile,Santiago,2012,Services
Krash,http://krash.io,"A network of shared living spaces where members immerse themselves in the culture of innovation for community, mentorship and fun.",United States,Boston,2012,Home
kozaza,https://kozaza.com/en,"A home sharing platform foccused on Korea. Users can select from homestays, houses, apartments, studio, guesthouses, pension, templestays, and traditional houses for a comfortable place to stay.","Korea, Democratic People's Republic of",Seoul,2012,Home
Koorier,http://koorier.com,Koorier is to a peer-to-peer app and platform for delivery services.,United States,San Francisco,2014,Delivery
Konnektid,http://konnektid.com,Offers peer to peer learning by enabling users to find skilled people that are willing to tutor nearby.,Netherlands,Amsterdam,2013,Education
Konfio,http://konfio.mx,"An online lending platform that helps micro-businesses in Latin America that don€__t have access to credit obtain affordable loans, to measure creditworthiness.",Mexico,Mexico City,2013,Finance
Know The Na,http://knowthena.com,"A global online tour & activity platform that facilitates the booking, sharing, and payment of user generated travel and recreational services such as tours, activities, workshops, adventures, experiences, and other cultural activities.",United States,Owensboro,2011,Services
Knok,http://knok.com,"Knok provides an online network of trusted (and verified) families, sharing homes with each other when not there.",Spain,Barcelona,2011,Home
Kindset,http://kindset.com,"Kindset connects people who want to give away stuff with people who need it - users find and join communities based on their interest, and then meet and exchange their items for free.",Japan,Kochi,2014,Marketplace
Kiinzel,http://kiinzel.com,"Kiinzel is a parent marketplace to buy, sell and swap pre-loved kids items.",Canada,Toronto,2012,Kids
Kidzy,http://kidzy.ee,"Kidzy is an an app and website that provides users with a marketplace for pre-loved kids clothes, toys & gear.",Estonia,Tallinn,2015,Kids
Kidizen,http://www.kidizen.com,"A parent-to-parent marketplace to buy, sell and swap kid's clothing, toys, gear and decor.",United States,Minneapolis,2010,Kids
Kickstarter,https://www.kickstarter.com/,"Kickstarter is a crowdfunding platform for creative projects such as movies, music, art, theater, games, comics, design, and photography",United States,New York City,2009,Finance
Keyzio,http://keyzio.com,"A platform that allows consumers to connect with each other directly to discuss a possible real estate transaction, and then optionally pay for and receive the specific help they need to close the deal through in-house and partner agents.",United States,Kansas City,2012,Home
Key to office,http://keytooffice.com,"An online marketplace for office and meeting rooms on demand, which can be rented on an hourly or daily basis.",Austria,Vienna,2012,Business
Karangoo,http://karangoo.com,A revolutionary marketplace where users can purchase awesome items with a group by sharing the cost of individual ownership.,United States,San Francisco,,Marketplace
kandid,http://kandid.ly,du+ch makes it easy to connect with affordable and trustworthy local photographers to capture unforgettable moments in pictures.,United States,Austin,2014,Services
Jwebi,http://jwebi.com,A peer-to-peer website that enables people to send and buy items from all over the world using travelers' spare luggage space.,France,Paris,2014,Delivery
JustShareIt,http://justshareit.com,"A person-to-person vehicle sharing marketplace that provides the insurance, technology and platform to help people securely rent their underutilized vehicles and vessels such as cars, boats and more among a trusted community of members.",United States,Silicon Valley,2011,Transport
JustPark,http://justpark.com,"JustPark is a website and app that matches drivers with spare car parking spaces, from residential driveways, schools and pubs to hotels, businesses and car parks. It is the UK€__s largest homegrown sharing economy company, with over 750,000 registered users.",United Kingdom,London,2006,Transport
JumpIn,http://www.jumpinstudent.co.uk,"A social taxi booking and sharing mobile app, tailored for students.",United Kingdom,London,2012,Transport
Jumblets,http://www.jumblets.com/default.aspx,An online platform that enables users to create virtual market stalls to trade homemade and second-hand items.,Sweden,Kalmar,2011,Arts & Crafts
JuicyCanvas,http://juicycanvas.com,A print-on-demand marketplace enabling users to customize and purchase unique artworks on canvas and other material.,United States,New York City,2012,Fashion
Josephine,http://josephine.com,"An online marketplace for home cooked food - users browse neighbourhood meals, order their chosen dish and then pick up from around the corner.",United States,Oakland,2014,Cooking
JobRunners,http://job-runners.com,"A New York based online bidding marketplace for users to outsource their errands, chores, odd jobs and projects to local background checked Runners, with recurrent donations to charity partners.",United States,New York City,2014,House Chores
Jobado,https://www.jobado.nl,"Jobada is a peer-to-peer marketplace of users helping each other out with all kinds of tasks, such as learning to play the guitar or moving house.",Netherlands,Amsterdam,2013,House Chores
JitterBook,http://jitterbook.com,A platform for the one site for the buying and selling of textbooks.,United States,Silicon Valley,2009,Education
jestocke,http://jestocke.com,"A community platform of co-locating, leasing furniture storage between individuals and insurance. Jestocke.com connects owners who have space at home with tenants looking for furniture storage, a cellar, a garage or a storage box hire cheap. Jestocke.com also caters to companies and their proposes to lease spaces for professional storage.",France,Bordeaux,2013,Storage
Jawnske,http://jawnske.com,"A marketplace to rent outdoors, sports and music equipment from locals.",United States,New York,2015,Hobbies
iStopOver,http://www.istopover.com,"An online peer-to-peer travel marketplace for finding home accommodation, catering specifically to the direct rental of space from one person to another.",Canada,Toronto,2009,Home
iShippo,http://www.ishippo.com,iShippo is a marketplace for home businesses connected by peer-to-peer crowdsourced logistics.,India,Bangalore,2015,Delivery
IRentShare,http://irentshare.com,"A platform for renting and sharing items, such as cameras, computers, tablets, furniture and more.",India,New Delhi,2013,Technology
Invitekids,http://invitekids.com,An online platform that connects parents with each other to share childcare and create free time.,Poland,,2014,Kids
investUP,http://investup.co,The world's first crowdfunding supermarket €__ bringing the debt and equity markets together in one place for investors.,United Kingdom,London,2012,Finance
InstaSneaks,http://instasneaks.com,"A mobile-first marketplace created to facilitate buying, selling and discovery within the footwear community.",United States,New York City,2014,Fashion
Instacart,http://instacart.com,A same-day grocery company that delivers groceries and home essentials from a variety of local stores.,United States,San Francisco,2012,Delivery
Indiegogo,http://www.indiegogo.com/,Indiegogo is a global crowdfunding platform empowering people around the world to fund projects that matter to them.,United States,San Francisco,2008,Finance
IlokYou,http://ilokyou.com,A social network of items and services for rental between individuals.,France,Nantes,2013,House Chores
Ihipo,http://www.ihipo.com,"iHipo, which stands for international High Potential network, is a social network that connects students and young professionals with international employers for communication and recruitment opportunities.",Sweden,Stockholm,2007,Services
igobono,http://igobono.com,"A social marketplace where members buy, sell and donate goods and services using a social currency (called €__bonos€__) instead of money.",United States,New York City,2011,Marketplace
i-Invested,http://i-invested.com,"A global open source ecosystem, which brings ideas to life by empowering innovative creators and investors.",United Kingdom,Manchester,2014,Finance
HyreCar,http://hyrecar.com,An online marketplace which enables customers to rent a car for RideSharing platforms such as Uber/Lyft.,United States,San Francisco,2014,Transport
Hyre,http://www.hyrejobs.com,"Hyre.in is a cloud solution for the human resources sector, which alloes users to choose the best professionals for company growth.",United States,San Francisco,,House Chores
Hykle,http://hykle.com,An online platform that helps travelers rent motorcycles and bicycles across India.,India,Bangalore,,Transport
Hunie,http://hunie.co,"Hunie is a community that connects designers, founders and developers for design feedback.",United States,Mountain View,2009,Services
Hubify,http://hubify.com,"The mission of Hubify is to provide a safe, simple, social commerce platform that lets people sell or rent anything, monetize their talents with online and offline services, and post part-time jobs for the sharing economy.",Italy,Venice,2010,House Chores
Hubble,http://hubblehq.com,"An online marketplace for renting office space, which simplifies the entire transaction to allow businesses to search across all office types, pay rent and sign contracts in just a few clicks.",United Kingdom,London,2013,Business
Hubber,http://drivehubber.com/index.html,A simple but revolutionary peer-to-peer car rental system that matches users with cars rented out by city residents when they leave town.,United States,Los Angeles,2013,Transport
Housetrip,http://www.housetrip.com/,HouseTrip is an online marketplace enabling individuals and holiday rental management companies to rent out their properties to guests.,Switzerland,Lausanne,2009,Home
HouseCare,http://housecare.tokyo,"The simplest possible booking platform for fast house cleaners (Ninjas), who aim to make home services as fast as pizza delivery. The service focuses on mothers and busy employees in Japan so that everyone can balance their career aspirations with their dream homes.",Japan,Tokyo,2014,House Chores
HourSpaces,http://www.hourspaces.com,An online marketplace for hourly space rentals focused on the performing arts in New York City.,United States,New York City,2010,Tools & Equipment
Hotdesk,http://hotdesk.com.au,An online platform connecting businesses having surplus office or desk space with businesses requiring access to flexible space.,Australia,Sydney,2013,Business
Host My Gig,http://hostmygig.com,"An online platform to discover, list, and book live music venues from any mobile device",United States,San Francisco,2012,Events
Horizon,http://horizonapp.co,Horizon is a community network that enabling users to find a place to stay with other trusted users.,United States,Seattle,2014,Home
HopSkipDrive,http://www.hopskipdrive.com/,HopSkipDrive makes life easier for busy parents by arranging rides for kids with a community of drivers who have significant childcare experience.,United States,Los Angeles,2014,Kids
Hopsak,http://hopsak.com,Hopsak is an online platform that allows user to send items that require tailoring to experiences tailors in its network.,United States,Arlington,,Fashion
Homing In,http://hominginapp.com,Homing In is an app that connects home purchasers with the nearest agent for property valuations.,United States,Las Vegas,2012,Home
Homejoy,http://homejoy.com,An online platform that connected professional cleaners with users - it closed down in July 2015.,United States,San Francisco,2012,House Chores
Homefed,http://homefed.co,"Homefed is a platform that allows users to host or attend home cooked meals at local's houses, food events, and edible goods around the world.",Canada,Waterloo,2013,Cooking
